UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
avahi      510   496   510  0    1 15:02 ?        00:00:00 avahi-daemon: chroot helper
root       522     2   522  0    1 15:02 ?        00:00:00 [cfg80211]
root       527     1   527  0    1 15:02 ?        00:00:00 /lib/systemd/systemd-logind
root       536     1   536  0    1 15:02 ?        00:00:00 /usr/sbin/acpid
root       541     1   541  0    1 15:02 ?        00:00:00 /usr/sbin/cupsd -f
root       542     1   542  0    1 15:02 ?        00:00:00 /usr/sbin/cups-browsed
root       546     1   546  0    1 15:02 ?        00:00:00 /usr/sbin/sshd -D
root       551     1   551  0    1 15:02 ?        00:00:00 /usr/sbin/minissdpd -i 0.0.0.0
root       553     1   553  0    3 15:02 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       553     1   565  0    3 15:02 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       553     1   566  0    3 15:02 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       555     1   555  0    1 15:02 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       561     1   561  0    4 15:02 ?        00:00:00 /usr/sbin/gdm3
root       561     1   585  0    4 15:02 ?        00:00:00 /usr/sbin/gdm3
root       561     1   588  0    4 15:02 ?        00:00:00 /usr/sbin/gdm3
root       561     1   592  0    4 15:02 ?        00:00:00 /usr/sbin/gdm3
root       595   561   595  4    1 15:02 tty7     00:05:51 /usr/bin/Xorg :0 -novtswitch -background none -noreset -verbose 3 -auth /var/run/gdm3/auth-for-Debian-gdm-wbI2Wk/database -seat seat0 -nolisten tcp vt7
root       610   498   610  0    1 15:02 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-c022a989-d48b-4bc0-ba84-9acbf6015fea-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
Debian-+   871     1   871  0    1 15:02 ?        00:00:00 /usr/sbin/exim4 -bd -q30m
root       936     1   936  0    3 15:02 ?        00:00:00 /usr/lib/upower/upowerd
root       936     1   937  0    3 15:02 ?        00:00:00 /usr/lib/upower/upowerd
root       936     1   938  0    3 15:02 ?        00:00:00 /usr/lib/upower/upowerd
colord     954     1   954  0    3 15:02 ?        00:00:00 /usr/lib/colord/colord
colord     954     1   956  0    3 15:02 ?        00:00:00 /usr/lib/colord/colord
colord     954     1   957  0    3 15:02 ?        00:00:00 /usr/lib/colord/colord
rtkit      962     1   962  0    3 15:02 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit      962     1   963  0    3 15:02 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit      962     1   964  0    3 15:02 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root       989     1   989  0    1 15:02 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       992     1   992  0    3 15:02 ?        00:00:00 /usr/lib/packagekit/packagekitd
root       992     1   993  0    3 15:02 ?        00:00:00 /usr/lib/packagekit/packagekitd
root       992     1   995  0    3 15:02 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1009   561  1009  0    3 15:04 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1009   561  1010  0    3 15:04 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1009   561  1012  0    3 15:04 ?        00:00:00 gdm-session-worker [pam/gdm-password]
oscread+  1015     1  1015  0    1 15:04 ?        00:00:00 /lib/systemd/systemd --user
oscread+  1016  1015  1016  0    1 15:04 ?        00:00:00 (sd-pam)  
oscread+  1020     1  1020  0    5 15:04 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1020     1  1021  0    5 15:04 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1020     1  1092  0    5 15:04 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1020     1  1093  0    5 15:04 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1020     1  1094  0    5 15:04 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1023  1009  1023  0    4 15:04 ?        00:00:00 x-session-manager
oscread+  1023  1009  1074  0    4 15:04 ?        00:00:00 x-session-manager
oscread+  1023  1009  1076  0    4 15:04 ?        00:00:00 x-session-manager
oscread+  1023  1009  1078  0    4 15:04 ?        00:00:00 x-session-manager
oscread+  1060  1023  1060  0    1 15:04 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session x-session-manager
oscread+  1063     1  1063  0    1 15:04 ?        00:00:00 /usr/bin/dbus-launch --exit-with-session x-session-manager
oscread+  1064     1  1064  0    1 15:04 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
oscread+  1067     1  1067  0    4 15:04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1067     1  1068  0    4 15:04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1067     1  1070  0    4 15:04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1067     1  1072  0    4 15:04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1071  1067  1071  0    1 15:04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
oscread+  1075     1  1075  0    2 15:04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
oscread+  1075     1  1079  0    2 15:04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
oscread+  1087  1023  1087  0    5 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1087  1023  1097  0    5 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1087  1023  1098  0    5 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1087  1023  1100  0    5 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1087  1023  1109  0    5 15:04 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1102     1  1102  0    2 15:04 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1102     1  1103  0    2 15:04 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1106     1  1106  0    2 15:04 ?        00:00:00 /usr/lib/gvfs/gvfsd
