[ 5875.311671] starting process tree print
[ 5875.311874] pid: 76, parent_pid: 2, name: kpsmoused, state: interruptable , state(num): 1
[ 5875.311875] pid: 79, parent_pid: 2, name: scsi_eh_2, state: interruptable , state(num): 1
[ 5875.311877] pid: 80, parent_pid: 2, name: scsi_tmf_2, state: interruptable , state(num): 1
[ 5875.311878] pid: 81, parent_pid: 2, name: scsi_eh_3, state: interruptable , state(num): 1
[ 5875.311880] pid: 82, parent_pid: 2, name: scsi_tmf_3, state: interruptable , state(num): 1
[ 5875.311881] pid: 83, parent_pid: 2, name: scsi_eh_4, state: interruptable , state(num): 1
[ 5875.311883] pid: 84, parent_pid: 2, name: scsi_tmf_4, state: interruptable , state(num): 1
[ 5875.311884] pid: 85, parent_pid: 2, name: scsi_eh_5, state: interruptable , state(num): 1
[ 5875.311885] pid: 86, parent_pid: 2, name: scsi_tmf_5, state: interruptable , state(num): 1
[ 5875.311887] pid: 87, parent_pid: 2, name: scsi_eh_6, state: interruptable , state(num): 1
[ 5875.311888] pid: 88, parent_pid: 2, name: scsi_tmf_6, state: interruptable , state(num): 1
[ 5875.311890] pid: 89, parent_pid: 2, name: scsi_eh_7, state: interruptable , state(num): 1
[ 5875.311891] pid: 90, parent_pid: 2, name: scsi_tmf_7, state: interruptable , state(num): 1
[ 5875.311892] pid: 91, parent_pid: 2, name: scsi_eh_8, state: interruptable , state(num): 1
[ 5875.311894] pid: 92, parent_pid: 2, name: scsi_tmf_8, state: interruptable , state(num): 1
[ 5875.311897] pid: 93, parent_pid: 2, name: scsi_eh_9, state: interruptable , state(num): 1
[ 5875.311898] pid: 94, parent_pid: 2, name: scsi_tmf_9, state: interruptable , state(num): 1
[ 5875.311900] pid: 95, parent_pid: 2, name: scsi_eh_10, state: interruptable , state(num): 1
[ 5875.311901] pid: 96, parent_pid: 2, name: scsi_tmf_10, state: interruptable , state(num): 1
[ 5875.311902] pid: 97, parent_pid: 2, name: scsi_eh_11, state: interruptable , state(num): 1
[ 5875.311904] pid: 98, parent_pid: 2, name: scsi_tmf_11, state: interruptable , state(num): 1
[ 5875.311905] pid: 99, parent_pid: 2, name: scsi_eh_12, state: interruptable , state(num): 1
[ 5875.311907] pid: 100, parent_pid: 2, name: scsi_tmf_12, state: interruptable , state(num): 1
[ 5875.311908] pid: 101, parent_pid: 2, name: scsi_eh_13, state: interruptable , state(num): 1
[ 5875.311910] pid: 102, parent_pid: 2, name: scsi_tmf_13, state: interruptable , state(num): 1
[ 5875.311911] pid: 103, parent_pid: 2, name: scsi_eh_14, state: interruptable , state(num): 1
[ 5875.311913] pid: 104, parent_pid: 2, name: scsi_tmf_14, state: interruptable , state(num): 1
[ 5875.311914] pid: 105, parent_pid: 2, name: scsi_eh_15, state: interruptable , state(num): 1
[ 5875.311915] pid: 106, parent_pid: 2, name: scsi_tmf_15, state: interruptable , state(num): 1
[ 5875.311917] pid: 107, parent_pid: 2, name: scsi_eh_16, state: interruptable , state(num): 1
[ 5875.311918] pid: 108, parent_pid: 2, name: scsi_tmf_16, state: interruptable , state(num): 1
[ 5875.311920] pid: 109, parent_pid: 2, name: scsi_eh_17, state: interruptable , state(num): 1
[ 5875.311921] pid: 110, parent_pid: 2, name: scsi_tmf_17, state: interruptable , state(num): 1
[ 5875.311923] pid: 111, parent_pid: 2, name: scsi_eh_18, state: interruptable , state(num): 1
[ 5875.311924] pid: 112, parent_pid: 2, name: scsi_tmf_18, state: interruptable , state(num): 1
[ 5875.311925] pid: 113, parent_pid: 2, name: scsi_eh_19, state: interruptable , state(num): 1
[ 5875.311927] pid: 114, parent_pid: 2, name: scsi_tmf_19, state: interruptable , state(num): 1
[ 5875.311928] pid: 115, parent_pid: 2, name: scsi_eh_20, state: interruptable , state(num): 1
[ 5875.311930] pid: 116, parent_pid: 2, name: scsi_tmf_20, state: interruptable , state(num): 1
[ 5875.311931] pid: 117, parent_pid: 2, name: scsi_eh_21, state: interruptable , state(num): 1
[ 5875.311932] pid: 118, parent_pid: 2, name: scsi_tmf_21, state: interruptable , state(num): 1
[ 5875.311933] pid: 119, parent_pid: 2, name: scsi_eh_22, state: interruptable , state(num): 1
[ 5875.311935] pid: 120, parent_pid: 2, name: scsi_tmf_22, state: interruptable , state(num): 1
[ 5875.311937] pid: 121, parent_pid: 2, name: scsi_eh_23, state: interruptable , state(num): 1
[ 5875.311938] pid: 122, parent_pid: 2, name: scsi_tmf_23, state: interruptable , state(num): 1
[ 5875.311940] pid: 123, parent_pid: 2, name: scsi_eh_24, state: interruptable , state(num): 1
[ 5875.311941] pid: 124, parent_pid: 2, name: scsi_tmf_24, state: interruptable , state(num): 1
[ 5875.311942] pid: 125, parent_pid: 2, name: scsi_eh_25, state: interruptable , state(num): 1
[ 5875.311944] pid: 126, parent_pid: 2, name: scsi_tmf_25, state: interruptable , state(num): 1
[ 5875.311945] pid: 127, parent_pid: 2, name: scsi_eh_26, state: interruptable , state(num): 1
[ 5875.311947] pid: 128, parent_pid: 2, name: scsi_tmf_26, state: interruptable , state(num): 1
[ 5875.311948] pid: 129, parent_pid: 2, name: scsi_eh_27, state: interruptable , state(num): 1
[ 5875.311949] pid: 130, parent_pid: 2, name: scsi_tmf_27, state: interruptable , state(num): 1
[ 5875.311951] pid: 131, parent_pid: 2, name: scsi_eh_28, state: interruptable , state(num): 1
[ 5875.311952] pid: 132, parent_pid: 2, name: scsi_tmf_28, state: interruptable , state(num): 1
[ 5875.311954] pid: 133, parent_pid: 2, name: scsi_eh_29, state: interruptable , state(num): 1
[ 5875.311955] pid: 134, parent_pid: 2, name: scsi_tmf_29, state: interruptable , state(num): 1
[ 5875.311956] pid: 135, parent_pid: 2, name: scsi_eh_30, state: interruptable , state(num): 1
[ 5875.311958] pid: 136, parent_pid: 2, name: scsi_tmf_30, state: interruptable , state(num): 1
[ 5875.311962] pid: 137, parent_pid: 2, name: scsi_eh_31, state: interruptable , state(num): 1
[ 5875.311963] pid: 138, parent_pid: 2, name: scsi_tmf_31, state: interruptable , state(num): 1
[ 5875.311965] pid: 163, parent_pid: 2, name: kworker/u2:28, state: interruptable , state(num): 1
[ 5875.311966] pid: 164, parent_pid: 2, name: kworker/u2:29, state: interruptable , state(num): 1
[ 5875.311968] pid: 168, parent_pid: 2, name: kworker/0:1H, state: interruptable , state(num): 1
[ 5875.311969] pid: 190, parent_pid: 2, name: jbd2/sda1-8, state: interruptable , state(num): 1
[ 5875.311971] pid: 191, parent_pid: 2, name: ext4-rsv-conver, state: interruptable , state(num): 1
[ 5875.311972] pid: 222, parent_pid: 2, name: kauditd, state: interruptable , state(num): 1
[ 5875.311973] pid: 287, parent_pid: 2, name: ttm_swap, state: interruptable , state(num): 1
[ 5875.311975] pid: 478, parent_pid: 2, name: rpciod, state: interruptable , state(num): 1
[ 5875.311976] pid: 480, parent_pid: 2, name: nfsiod, state: interruptable , state(num): 1
[ 5875.311978] pid: 574, parent_pid: 2, name: cfg80211, state: interruptable , state(num): 1
[ 5875.311979] pid: 19932, parent_pid: 2, name: kworker/0:0, state: interruptable , state(num): 1
[ 5875.311980] pid: 24846, parent_pid: 2, name: kworker/0:2, state: interruptable , state(num): 1
[ 5875.311982] pid: 24859, parent_pid: 2, name: kworker/0:1, state: interruptable , state(num): 1
[ 5875.321875] removing module
